,date,nombre total,nombre de nouveaux cas,nombre de décès,Mois-Année
0,2019-12-31,27,27,0,Dec-2019
1,2020-01-01,27,0,0,Jan-2020
2,2020-01-02,27,0,0,Jan-2020
3,2020-01-03,44,17,0,Jan-2020
4,2020-01-04,44,0,0,Jan-2020
5,2020-01-05,59,15,0,Jan-2020
6,2020-01-06,59,0,0,Jan-2020
7,2020-01-07,59,0,0,Jan-2020
8,2020-01-08,59,0,0,Jan-2020
9,2020-01-09,59,0,0,Jan-2020
10,2020-01-10,59,0,0,Jan-2020
11,2020-01-11,59,0,1,Jan-2020
12,2020-01-12,59,0,0,Jan-2020
13,2020-01-13,60,1,0,Jan-2020
14,2020-01-14,60,0,0,Jan-2020
15,2020-01-15,61,1,1,Jan-2020
16,2020-01-16,61,0,0,Jan-2020
17,2020-01-17,66,5,0,Jan-2020
18,2020-01-18,83,17,0,Jan-2020
19,2020-01-19,219,136,1,Jan-2020
20,2020-01-20,239,20,0,Jan-2020
21,2020-01-21,392,153,3,Jan-2020
22,2020-01-22,534,142,11,Jan-2020
23,2020-01-23,631,97,0,Jan-2020
24,2020-01-24,897,266,9,Jan-2020
25,2020-01-25,1350,453,15,Jan-2020
26,2020-01-26,2023,673,15,Jan-2020
27,2020-01-27,2820,797,25,Jan-2020
28,2020-01-28,4587,1767,25,Jan-2020
29,2020-01-29,6067,1480,26,Jan-2020
30,2020-01-30,7823,1756,38,Jan-2020
31,2020-01-31,9824,2001,43,Jan-2020
32,2020-02-01,11946,2122,46,Feb-2020
33,2020-02-02,14554,2608,46,Feb-2020
34,2020-02-03,17372,2818,57,Feb-2020
35,2020-02-04,20615,3243,65,Feb-2020
36,2020-02-05,24523,3908,66,Feb-2020
37,2020-02-06,28274,3751,72,Feb-2020
38,2020-02-07,31492,3218,73,Feb-2020
39,2020-02-08,34934,3442,86,Feb-2020
40,2020-02-09,37552,2618,89,Feb-2020
41,2020-02-10,40544,2992,97,Feb-2020
42,2020-02-11,43106,2562,108,Feb-2020
43,2020-02-12,45178,2072,97,Feb-2020
44,2020-02-13,60329,15151,255,Feb-2020
45,2020-02-14,64544,4215,13,Feb-2020
46,2020-02-15,67104,2560,144,Feb-2020
47,2020-02-16,69266,2162,142,Feb-2020
48,2020-02-17,71333,2067,106,Feb-2020
49,2020-02-18,73328,1995,98,Feb-2020
50,2020-02-19,75192,1864,139,Feb-2020
51,2020-02-20,75724,532,116,Feb-2020
52,2020-02-21,76720,996,119,Feb-2020
53,2020-02-22,77805,1085,112,Feb-2020
54,2020-02-23,78814,1009,104,Feb-2020
55,2020-02-24,79337,523,156,Feb-2020
56,2020-02-25,80130,793,79,Feb-2020
57,2020-02-26,80997,867,64,Feb-2020
58,2020-02-27,82111,1114,38,Feb-2020
59,2020-02-28,83381,1270,57,Feb-2020
60,2020-02-29,85237,1856,64,Feb-2020
61,2020-03-01,87061,1824,58,Mar-2020
62,2020-03-02,89149,2088,67,Mar-2020
63,2020-03-03,91002,1853,72,Mar-2020
64,2020-03-04,93310,2308,84,Mar-2020
65,2020-03-05,95645,2335,80,Mar-2020
66,2020-03-06,98704,3059,102,Mar-2020
67,2020-03-07,102841,4137,104,Mar-2020
68,2020-03-08,106811,3970,97,Mar-2020
69,2020-03-09,110985,4174,228,Mar-2020
70,2020-03-10,115746,4761,208,Mar-2020
71,2020-03-11,120832,5086,273,Mar-2020
72,2020-03-12,128670,7838,326,Mar-2020
73,2020-03-13,138137,9467,350,Mar-2020
74,2020-03-14,148544,10407,442,Mar-2020
75,2020-03-15,160784,12240,366,Mar-2020
76,2020-03-16,173287,12503,751,Mar-2020
77,2020-03-17,187495,14208,608,Mar-2020
78,2020-03-18,204424,16929,811,Mar-2020
79,2020-03-19,224629,20205,959,Mar-2020
80,2020-03-20,255706,31077,1068,Mar-2020
81,2020-03-21,287636,31930,1385,Mar-2020
82,2020-03-22,321844,34208,1712,Mar-2020
83,2020-03-23,356236,34392,1681,Mar-2020
84,2020-03-24,400575,44339,1847,Mar-2020
85,2020-03-25,442988,42413,2305,Mar-2020
86,2020-03-26,496656,53668,2629,Mar-2020
87,2020-03-27,557686,61030,2807,Mar-2020
88,2020-03-28,622656,64970,3486,Mar-2020
89,2020-03-29,685566,62910,3565,Mar-2020
90,2020-03-30,742914,57348,3201,Mar-2020
91,2020-03-31,807330,64416,3984,Mar-2020
92,2020-04-01,881932,74602,4663,Apr-2020
93,2020-04-02,959419,77487,5021,Apr-2020
94,2020-04-03,1036848,77429,4999,Apr-2020
95,2020-04-04,1118696,81848,6757,Apr-2020
96,2020-04-05,1203951,85255,6270,Apr-2020
97,2020-04-06,1270316,66365,4714,Apr-2020
98,2020-04-07,1343286,72970,5331,Apr-2020
99,2020-04-08,1420288,77002,7606,Apr-2020
100,2020-04-09,1505289,85001,6552,Apr-2020
101,2020-04-10,1592612,87323,7444,Apr-2020
102,2020-04-11,1682209,89597,7001,Apr-2020
103,2020-04-12,1757582,75373,5980,Apr-2020
104,2020-04-13,1825979,68397,5249,Apr-2020
105,2020-04-14,1890727,64748,5326,Apr-2020
106,2020-04-15,1967245,76518,7641,Apr-2020
107,2020-04-16,2045475,78230,10547,Apr-2020
108,2020-04-17,2129397,83922,8546,Apr-2020
109,2020-04-18,2211155,81758,8447,Apr-2020
110,2020-04-19,2290792,79637,6398,Apr-2020
111,2020-04-20,2361540,70748,4930,Apr-2020
112,2020-04-21,2435203,73663,5405,Apr-2020
113,2020-04-22,2521695,86492,7366,Apr-2020
114,2020-04-23,2588000,66305,6030,Apr-2020
115,2020-04-24,2666479,78479,7336,Apr-2020
116,2020-04-25,2739303,72824,5402,Apr-2020
117,2020-04-26,2839221,99918,6129,Apr-2020
118,2020-04-27,2921067,81846,3840,Apr-2020
119,2020-04-28,2986615,65548,4905,Apr-2020
120,2020-04-29,3058816,72201,6564,Apr-2020
121,2020-04-30,3137497,78681,6586,Apr-2020
122,2020-05-01,3222984,85487,5696,May-2020
123,2020-05-02,3311554,88570,5567,May-2020
124,2020-05-03,3392447,80893,4751,May-2020
125,2020-05-04,3469578,77131,3641,May-2020
126,2020-05-05,3546041,76463,3992,May-2020
127,2020-05-06,3624563,78522,5970,May-2020
128,2020-05-07,3712077,87514,6138,May-2020
129,2020-05-08,3804421,92344,5661,May-2020
130,2020-05-09,3893577,89156,5187,May-2020
131,2020-05-10,3982574,88997,4383,May-2020
132,2020-05-11,4057387,74813,3358,May-2020
133,2020-05-12,4127009,69622,3556,May-2020
134,2020-05-13,4213081,86072,5753,May-2020
135,2020-05-14,4299285,86204,5115,May-2020
136,2020-05-15,4395844,96559,5279,May-2020
137,2020-05-16,4492997,97153,5118,May-2020
138,2020-05-17,4586035,93038,4204,May-2020
139,2020-05-18,4665749,79714,2850,May-2020
140,2020-05-19,4751930,86181,3258,May-2020
141,2020-05-20,4847234,95304,5188,May-2020
142,2020-05-21,4950463,103229,4754,May-2020
143,2020-05-22,5058276,107813,5376,May-2020
144,2020-05-23,5164181,105905,4644,May-2020
145,2020-05-24,5264177,99996,3928,May-2020
146,2020-05-25,5357392,93215,1068,May-2020
147,2020-05-26,5446128,88736,3357,May-2020
148,2020-05-27,5539764,93636,3939,May-2020
149,2020-05-28,5642430,102666,5200,May-2020
150,2020-05-29,5760799,118369,4647,May-2020
151,2020-05-30,5882844,122045,4697,May-2020
152,2020-05-31,6010987,128143,4016,May-2020
153,2020-06-01,6117868,106881,2868,Jun-2020
154,2020-06-02,6217787,99919,3116,Jun-2020
155,2020-06-03,6330047,112260,4573,Jun-2020
156,2020-06-04,6456728,126681,5562,Jun-2020
157,2020-06-05,6583695,126967,5107,Jun-2020
158,2020-06-06,6716794,133099,4679,Jun-2020
159,2020-06-07,6842958,126164,3775,Jun-2020
160,2020-06-08,6958168,115210,3481,Jun-2020
161,2020-06-09,7063517,105349,3211,Jun-2020
162,2020-06-10,7188612,125095,4843,Jun-2020
163,2020-06-11,7322921,134309,5169,Jun-2020
164,2020-06-12,7459253,136332,4679,Jun-2020
165,2020-06-13,7603943,144690,4658,Jun-2020
166,2020-06-14,7737571,133628,4126,Jun-2020
167,2020-06-15,7859036,121465,3130,Jun-2020
168,2020-06-16,7977619,118583,3364,Jun-2020
169,2020-06-17,8118821,141202,6739,Jun-2020
170,2020-06-18,8295461,176640,5169,Jun-2020
171,2020-06-19,8433898,138437,6258,Jun-2020
172,2020-06-20,8613001,179103,5002,Jun-2020
173,2020-06-21,8772619,159618,4087,Jun-2020
174,2020-06-22,8901495,128876,3945,Jun-2020
175,2020-06-23,9037824,136329,3444,Jun-2020
176,2020-06-24,9202314,164490,5364,Jun-2020
177,2020-06-25,9377099,174785,5241,Jun-2020
178,2020-06-26,9556124,179025,6575,Jun-2020
179,2020-06-27,9744837,188713,4599,Jun-2020
180,2020-06-28,9926110,181273,4577,Jun-2020
181,2020-06-29,10085898,159788,3047,Jun-2020
182,2020-06-30,10245860,159962,3718,Jun-2020
183,2020-07-01,10437926,192066,5626,Jul-2020
184,2020-07-02,10638859,200933,4861,Jul-2020
185,2020-07-03,10847744,208885,5103,Jul-2020
186,2020-07-04,11053353,205609,5013,Jul-2020
187,2020-07-05,11244053,190700,4324,Jul-2020
188,2020-07-06,11422018,177965,3369,Jul-2020
189,2020-07-07,11597688,175670,3839,Jul-2020
190,2020-07-08,11804635,206947,5998,Jul-2020
191,2020-07-09,12020122,215487,5301,Jul-2020
192,2020-07-10,12245409,225287,5386,Jul-2020
193,2020-07-11,12477066,231657,5289,Jul-2020
194,2020-07-12,12694752,217686,4783,Jul-2020
195,2020-07-13,12890145,195393,3881,Jul-2020
196,2020-07-14,13079349,189204,3837,Jul-2020
197,2020-07-15,13302905,223556,5579,Jul-2020
198,2020-07-16,13534808,231903,5522,Jul-2020
199,2020-07-17,13789304,254496,5759,Jul-2020
200,2020-07-18,14043851,254547,7376,Jul-2020
201,2020-07-19,14273825,229974,4938,Jul-2020
202,2020-07-20,14483157,209332,3833,Jul-2020
203,2020-07-21,14684558,201401,4106,Jul-2020
204,2020-07-22,14924236,239678,6123,Jul-2020
205,2020-07-23,15205910,281674,6892,Jul-2020
206,2020-07-24,15482244,276334,9783,Jul-2020
207,2020-07-25,15766140,283896,6274,Jul-2020
208,2020-07-26,16025627,259487,5732,Jul-2020
209,2020-07-27,16257435,231808,3961,Jul-2020
210,2020-07-28,16469682,212247,4653,Jul-2020
211,2020-07-29,16713303,243621,6158,Jul-2020
212,2020-07-30,17011397,298094,6668,Jul-2020
213,2020-07-31,17301839,290442,6392,Jul-2020
214,2020-08-01,17580732,278893,6109,Aug-2020
215,2020-08-02,17848056,267324,5747,Aug-2020
216,2020-08-03,18071761,223705,4254,Aug-2020
217,2020-08-04,18276850,205089,4223,Aug-2020
218,2020-08-05,18532360,255510,6731,Aug-2020
219,2020-08-06,18809706,277346,7122,Aug-2020
220,2020-08-07,19095920,286214,6882,Aug-2020
221,2020-08-08,19371806,275886,6465,Aug-2020
222,2020-08-09,19640056,268250,5621,Aug-2020
223,2020-08-10,19869332,229276,4810,Aug-2020
224,2020-08-11,20089808,220476,4840,Aug-2020
225,2020-08-12,20350870,261062,6124,Aug-2020
226,2020-08-13,20639883,289013,6890,Aug-2020
227,2020-08-14,20926788,286905,9922,Aug-2020
228,2020-08-15,21216031,289243,6254,Aug-2020
229,2020-08-16,21475434,259403,5656,Aug-2020
230,2020-08-17,21707579,232145,4222,Aug-2020
231,2020-08-18,21904651,197072,4262,Aug-2020
232,2020-08-19,22159559,254908,6683,Aug-2020
233,2020-08-20,22440570,281011,6539,Aug-2020
234,2020-08-21,22716781,276211,6344,Aug-2020
235,2020-08-22,22970406,253625,5916,Aug-2020
236,2020-08-23,23236871,266465,5633,Aug-2020
237,2020-08-24,23461368,224497,3322,Aug-2020
238,2020-08-25,23681725,220357,4538,Aug-2020
239,2020-08-26,23936430,254705,6374,Aug-2020
240,2020-08-27,24204686,268256,6289,Aug-2020
